,model,price,rating,rat1,rat2,processor,processor_core,ram,memory,gpu,resolution,os,warranty
161,Infinix INBook X1 XL11 Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹30,490",0,44,0,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8 GB LPDDR4X RAM,256 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
162,Dell Latitude 5420 Laptop (11th Gen Core i5/ 8GB/ 256GB SSD/ Win10 Pro),"₹1,04,800",60,0,0,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 10  OS,1 Year Warranty
163,Xiaomi Mi Notebook Ultra Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10),"₹56,999",66,0,0,11th Gen Intel Core i5 11300H ,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 3200 x 2000 pixels",Windows 10  OS,1 Year Warranty
164,Dell Inspiron 3511 Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win10/ 2GB Graph),"₹65,990",66,0,0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,2 GB NVIDIA GeForce MX350,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS
165,HP Pavilion 15-ec2004AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹60,490",66,0,0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
166,Xiaomi Mi Notebook Pro 14 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10),"₹53,999",62,0,0,11th Gen Intel Core i5 11300H ,"Quad Core, 8 Threads",16 GB DDR4  RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 2560 x 1600 pixels",Windows 10  OS,1 Year Warranty
167,Microsoft Surface Laptop Go 1943 THJ-00023 Laptop (10th Gen Core i5/ 8GB/ 256GB SSD/ Win10 Home),"₹69,500",0,55,0,10th Gen Intel Core i5 1035G1,"Quad Core, 8 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"12.4 inches, 1536 x 1024 pixels, Touch Screen",Windows 10 OS,1 Year Warranty
168,Apple MacBook Pro 16 Laptop (9th Gen Core i9/ 32GB/ 2TB SSD/ MacOS/ 4GB Graph),"₹2,01,498",82,0,0,9th Gen Intel Core i9,Octa Core,32 GB DDR4 RAM,2 TB SSD,4 GB Radeon Pro 5500M,"16 inches, 3072 x 1920 pixels",Mac Catalina OS,1 Year Warranty
169,Apple MacBook Pro 16 Laptop (9th Gen Core i7/ 16GB/ 1TB SSD/ MacOS/ 4GB Graph),"₹1,72,775",73,0,0,9th Gen Intel Core i7,Hexa Core,16 GB DDR4 RAM,1 TB SSD,4 GB Radeon Pro 5300M with,"16 inches, 3072 x 1920 pixels",Mac Catalina OS,1 Year Warranty
170,Dell XPS 9315 D560076WIN9S Laptop (12th Gen Core i5 / 16GB/ 512GB SSD/ Win11),"₹1,58,900",69,0,0,12th Gen Intel Core i5 1230U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"13 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
171,HP Spectre x360 14-ef0072TU Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹1,30,989",76,0,0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,Intel Iris X Graphics,"13.5 inches, 3000 x 2000 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
172,Asus ROG Zephyrus Duo 16 (2023) GX650PY-NM052WS Gaming Laptop ( AMD Ryzen 9 7945HX/ 32GB/ 2TB SSD/ Win11/ 16GB Graph),"₹4,29,990",0,0,0,7th Gen AMD Ryzen 9  7945HX ,"16 Cores, 32 Threads",32 GB DDR5 RAM,2 TB SSD,16 GB NVIDIA GeForce RTX 4090,"16 inches, 3840 x 2400 pixels",Windows 11 OS,1 Year Warranty
173,Dell Vostro 5620 M552319WIN9S Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 2GB Graph),"₹94,043",73,0,0,12th Gen Intel Core i7 1260P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,2 GB NVIDIA GeForce MX570,"16 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
174,HP 255 G8 689T4PA Laptop (Ryzen 3 3250U/ 8GB/512GB SSD/ Win11 Home),"₹31,990",60,0,0,3rd Gen AMD Ryzen 3 3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
175,Asus Vivobook Go 14 2023 E1404FA-NK542WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11),"₹56,990",61,0,0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",16 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
176,Asus ROG Zephyrus M16 2023 GU604VZ-NM050WS Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 / 12GB Graph),"₹2,99,990",0,0,0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32 GB DDR5 RAM,1 TB SSD,12 GB NVIDIA GeForce RTX 4080,"16 inches, 2560 x 1600 pixels",Windows 11  OS,1 Year Warranty
177,MSI Modern 14 C11M-030IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹45,990",0,59,0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
178,MSI Modern 14 C7M-063IN Laptop (Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11),"₹45,990",61,0,0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
179,Acer Extensa 15 EX215-33 2023 Laptop (Intel Core i3 N305/ 8GB/ 512GB SSD/ Win11 Home),"₹36,990",0,50,0,Intel Core i3 N305,"Octa Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
180,Asus Vivobook Go 14 2023 E1404FA-NK322WS Laptop (Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),"₹39,950",0,54,0,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
181,Asus ROG Strix SCAR 18 2023 G834JZ-N5041WS Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 12GB Graph),"₹2,79,990",82,0,0,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",32 GB DDR5 RAM,1 TB SSD,12 GB NVIDIA GeForce RTX 4080,"18 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
182,HP 14s-dr5016TU Laptop (12th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Home),"₹60,990",63,0,0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8 GB DDR4 RAM,1 TB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
183,Asus Vivobook Pro 15 M6500QC-HN542WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹68,990",69,0,0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
184,Asus Vivobook 15 OLED 2023 M1505YA-LK541WS Laptop (Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),"₹65,990",66,0,0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
185,Asus Vivobook 15 OLED 2023 M1505YA-LK741WS Laptop (Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),"₹73,990",69,0,0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
186,Asus Vivobook Go 15 2023 E1504FA-NJ323WS Laptop (Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),"₹39,990",0,59,0,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
187,HP Pavilion Aero 13-be2047AU Laptop (Ryzen 7 7735U/ 16GB/ 1TB SSD/ Win 11 Home),"₹78,490",68,0,0,7th Gen AMD Ryzen 7 7735U,"Octa Core, 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,"13.3 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
188,HP Pavilion Aero 13-be2057AU Laptop (Ryzen 5 7535U/ 16GB/ 512GB SSD/ Win 11 Home),"₹68,490",67,0,0,7th Gen AMD Ryzen 5 7535U,"Hexa Core, 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,"13.3 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
189,Acer Extensa EX215-23 NX.EH3SI.003 Laptop (Ryzen 5 7520U/ 8 GB/512 GB SSD/Win11 Home),"₹44,990",0,55,0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
190,Lenovo ThinkPad E14 21E3S0AV00 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹48,990",65,0,0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,512 GB SSD, Intel UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
191,Asus Zenbook 14 OLED 2023 UM3402YA-KM751WS Laptop (Ryzen 7 7730U / 16GB/ 1TB SSD/ Win11 Home),"₹1,04,990",72,0,0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB LPDDR4X RAM,1 TB SSD,AMD Radeon AMD,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
192,Samsung Galaxy Book 3 NP750XFG-KB1IN Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹74,990",0,57,0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8 GB LPDDR4x RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
193,Samsung Galaxy Book 3 NP750XFG-KA3IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹89,990",61,0,0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
194,Samsung Galaxy Book 3 NP750XFG-KA2IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹79,990",60,0,0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
195,Lenovo Ideapad Slim 3 15ITL05 81X800HYIN Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹33,490",0,57,0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
196,Lenovo Yoga Slim 7 Pro 82NC00FSIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹69,990",63,0,0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 2880 x 1800 pixels",Windows 11 OS,3 Year Warranty
197,Lenovo Legion 5 15ACH6 82JW00QMIN Gaming Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹82,990",75,0,0,5th Gen AMD Ryzen 7 5800H ,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
198,Asus Vivobook 15 X1502ZA-EJ592WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹59,990",0,59,0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
